,Title,URL,Rent,Min.Rent,Max.Rent,Unit.Label,Street.Address,Postal.Code,Amenities,Room.Count,lat,lng,accuracy,GoogleHumanReadable,Tract,GEOID10,NAMELSAD10,Opp_Area
1955,"Park View Apartments, Chicago, IL",https://www.apartments.com/park-view-apartments-chicago-il/rk2pyg1/,"$2,245 - 2,375","2,245","2,375",2 Bed,1936 N Clark St,60614,"Annual Air &amp; Water Show,BBQ Area,Beauty Center,Bike Room,Bike Storage,Cable &amp; Internet Ready,CTA Bus Line In Front of Our Building,Daycare Center,Dry Cleaning Services - Press Box,Guest Suites,Lincoln Park,Local Amenities,Night Door Attendant,Old Town Art Show,On-Site Management &amp; Maintenance!,Park View Grocer,Press Box &amp; Shoe Repair,Rental Guest Suites,Restaurant - The Blanchard,Stainless Steel Appliances *,Thai Massage,The Blanchard Modern French Cuisine,Wifi Available in Lobby,Wifi in Lobby,$300 Fee,25 lb Weight Limit,1 Pet Limit,Built in 1926,215 Units/11 Stories,Package Service,Laundry Facilities,Controlled Access,Day Care,Maintenance on site,Property Manager on Site,Doorman,Concierge,24 Hour Availability,Shuttle to Train,Dry Cleaning Service,House Sitter Services,Laundry Service,Maid Service,Grocery Service,Guest Apartment,Elevator,Business Center,Lounge,Storage Space,Coffee Bar,Vintage Building,Conference Room,Gated,Sundeck,Grill,Picnic Area,Waterfront,Lake Access,Fitness Center,Health Club Facility,Cardio Machines,Free Weights,Weight Machines,Bike Storage,Basketball Court,Walking/Biking Trails,High Speed Internet Access,Washer/Dryer,Air Conditioning,Heating,Ceiling Fans,Cable Ready,Storage Units,Tub/Shower,Dishwasher,Island Kitchen,Eat-in Kitchen,Kitchen,Oven,Range,Refrigerator,Freezer,Breakfast Nook,Hardwood Floors,Tile Floors,Dining Room,Family Room,Den,Crown Molding,Views,Walk-In Closets,Window Coverings,Accent Walls,Deck,Barbecue/Grill",2 Bed,41.9175469,-87.6359193,ROOFTOP,"1936 N Clark St, Chicago, IL 60614, USA",17031071500,17031071500,Census Tract 715,Yes
2221,"1844 N Lincoln Ave Unit Unt 2, Chicago, IL",https://www.apartments.com/1844-n-lincoln-ave-chicago-il/rzm1sg1/,"$3,000","3,000","3,000",3 Bed,1844 N Lincoln Ave Unit Unt 2,60614,Washer/Dryer,3 Bed,41.91593,-87.635935,ROOFTOP,"1844 N Lincoln Ave #2, Chicago, IL 60614, USA",17031071500,17031071500,Census Tract 715,Yes
2355,"1927 N Sedgwick St, Chicago, IL",https://www.apartments.com/1927-n-sedgwick-st-chicago-il/hwpx2p0/,"$3,700","3,700","3,700",3 Bed,1927 N Sedgwick St,60614,Washer/Dryer,3 Bed,41.91736,-87.638466,ROOFTOP,"1927 N Sedgwick St, Chicago, IL 60614, USA",17031071500,17031071500,Census Tract 715,Yes
2414,"1844 N Lincoln Ave Unit 2, Chicago, IL",https://www.apartments.com/1844-n-lincoln-ave-chicago-il/yy2w31v/,"$3,000","3,000","3,000",3 Bed,1844 N Lincoln Ave Unit 2,60614,Washer/Dryer,3 Bed,41.91593,-87.635935,ROOFTOP,"1844 N Lincoln Ave #2, Chicago, IL 60614, USA",17031071500,17031071500,Census Tract 715,Yes
2575,"Eugenie Terrace on the Park, Chicago, IL",https://www.apartments.com/eugenie-terrace-on-the-park-chicago-il/fsrr10s/,"$6,628 - 6,803","6,628","6,803",3 Bed,1730 N Clark St,60614,"24-Hour Door Attendant,Bicycle Storage Area,Cardio Fitness Center,Cats Welcomed,Close to Restaurants and Shopping,Club Room for Entertaining,Corner apartment,Dry Cleaning Pick-Up/Drop-Off,Easy Access to Local Expressways,Easy Access to Public Transportation,Equal sized bedrooms,Excellent School District,Fully Furnished Guest Suite(s),Granite breakfast bar,High Rise Building,King sized bedroom,on-site 24-hour maintenance,On-Site ATM Machine,Planned Social Activities,Private attached parking garage,Professional Landscaping,Rooftop Pool with bi-level sundeck,Separate living and sleeping areas,Skyline Views,Sleek stainless steel appliances,State-of-the-art Fitness Center,Thick granite slab kitchen countertops,Underground Parking Available,Unfurnished,Walk-in closet,White appliances,Yoga Room,Zip Cars Available,Cat Friendly Apartment Homes,Dog Friendly Apartment Home,Eat-in kitchen,$25 Monthly Pet Rent,$500 Fee,2 Pet Limit,$500 Fee,2 Pet Limit,Built in 1988,575 Units/44 Stories,Package Service,Laundry Facilities,Maintenance on site,Property Manager on Site,Doorman,Concierge,24 Hour Availability,Planned Social Activities,Guest Apartment,Elevator,Business Center,Clubhouse,Lounge,Breakfast/Coffee Concierge,Storage Space,Coffee Bar,Rooftop Lounge,Sundeck,Grill,Fitness Center,Cardio Machines,Free Weights,Weight Machines,Sauna,Pool,High Speed Internet Access,Air Conditioning,Storage Units,Dishwasher,Granite Countertops,Stainless Steel Appliances,Eat-in Kitchen,Microwave,Bay Window,Views,Walk-In Closets,Balcony",3 Bed,41.9137725,-87.6338197,ROOFTOP,"1730 N Clark St, Chicago, IL 60614, USA",17031071500,17031071500,Census Tract 715,Yes
2583,"Park View Apartments, Chicago, IL",https://www.apartments.com/park-view-apartments-chicago-il/rk2pyg1/,"$7,250","7,250","7,250",3 Bed,1936 N Clark St,60614,"Annual Air &amp; Water Show,BBQ Area,Beauty Center,Bike Room,Bike Storage,Cable &amp; Internet Ready,CTA Bus Line In Front of Our Building,Daycare Center,Dry Cleaning Services - Press Box,Guest Suites,Lincoln Park,Local Amenities,Night Door Attendant,Old Town Art Show,On-Site Management &amp; Maintenance!,Park View Grocer,Press Box &amp; Shoe Repair,Rental Guest Suites,Restaurant - The Blanchard,Stainless Steel Appliances *,Thai Massage,The Blanchard Modern French Cuisine,Wifi Available in Lobby,Wifi in Lobby,$300 Fee,25 lb Weight Limit,1 Pet Limit,Built in 1926,215 Units/11 Stories,Package Service,Laundry Facilities,Controlled Access,Day Care,Maintenance on site,Property Manager on Site,Doorman,Concierge,24 Hour Availability,Shuttle to Train,Dry Cleaning Service,House Sitter Services,Laundry Service,Maid Service,Grocery Service,Guest Apartment,Elevator,Business Center,Lounge,Storage Space,Coffee Bar,Vintage Building,Conference Room,Gated,Sundeck,Grill,Picnic Area,Waterfront,Lake Access,Fitness Center,Health Club Facility,Cardio Machines,Free Weights,Weight Machines,Bike Storage,Basketball Court,Walking/Biking Trails,High Speed Internet Access,Washer/Dryer,Air Conditioning,Heating,Ceiling Fans,Cable Ready,Storage Units,Tub/Shower,Dishwasher,Island Kitchen,Eat-in Kitchen,Kitchen,Oven,Range,Refrigerator,Freezer,Breakfast Nook,Hardwood Floors,Tile Floors,Dining Room,Family Room,Den,Crown Molding,Views,Walk-In Closets,Window Coverings,Accent Walls,Deck,Barbecue/Grill",3 Bed,41.9175469,-87.6359193,ROOFTOP,"1936 N Clark St, Chicago, IL 60614, USA",17031071500,17031071500,Census Tract 715,Yes
1585,"1947 N Cleveland Ave Unit 1F, Chicago, IL",https://www.apartments.com/1947-n-cleveland-ave-chicago-il/j0gx3w6/,"$2,400","2,400","2,400",2 Bed,1947 N Cleveland Ave Unit 1F,60614,Laundry Facilities,2 Bed,41.9178171,-87.6410003,ROOFTOP,"1947 N Cleveland Ave #1f, Chicago, IL 60614, USA",17031071600,17031071600,Census Tract 716,Yes
765,"1750 N Mohawk St Unit 405, Chicago, IL",https://www.apartments.com/1750-n-mohawk-st-chicago-il/yt1etxv/,"$1,685","1,685","1,685",1 Bed,1750 N Mohawk St Unit 405,60614,Laundry Facilities,1 Bed,41.9142951,-87.6426523,ROOFTOP,"1750 N Mohawk St #405, Chicago, IL 60614, USA",17031071700,17031071700,Census Tract 717,Yes
2156,"1952 N Orchard St Unit 2F, Chicago, IL",https://www.apartments.com/1952-n-orchard-st-chicago-il/ywhd94v/,"$3,390","3,390","3,390",3 Bed,1952 N Orchard St Unit 2F,60614,Washer/Dryer,3 Bed,41.9175276,-87.6463652,ROOFTOP,"1952 N Orchard St #2f, Chicago, IL 60614, USA",17031071800,17031071800,Census Tract 718,Yes
2475,"618 W Willow St, Chicago, IL",https://www.apartments.com/618-w-willow-st-chicago-il/9r8yhk7/,"$2,200","2,200","2,200",3 Bed,618 W Willow St,60614,,3 Bed,41.914097,-87.64439,ROOFTOP,"618 W Willow St, Chicago, IL 60614, USA",17031071800,17031071800,Census Tract 718,Yes
249,"1350 North Lake Shore Drive, Chicago, IL",https://www.apartments.com/1350-north-lake-shore-drive-chicago-il/l583l3f/,"$1,461 - 2,720","1,461","2,720",Studio,1350 N Lake Shore Dr,60610,"24-hour doorman,24-hour emergency maintenance,Bicycle room,Rooftop sundeck,Built in 1951,742 Units/22 Stories,24 Hour Availability,Business Center,Sundeck,Grill,Fitness Center,Cardio Machines,Weight Machines,Heating,Dishwasher,Disposal,Range,Walk-In Closets",Studio,41.9070935,-87.62641,ROOFTOP,"1350 N Lake Shore Dr, Chicago, IL 60610, USA",17031080100,17031080100,Census Tract 801,Yes
574,"20 E Scott, Chicago, IL",https://www.apartments.com/20-e-scott-chicago-il/jq01xe4/,"$1,450 - 1,480","1,450","1,480",Studio,20 E Scott St,60610,"Built in 1967,26 Units/5 Stories,Laundry Facilities,Maintenance on site,Online Services,Elevator,Air Conditioning,Pantry,Kitchen,Carpet,Dining Room,Linen Closet,Window Coverings",Studio,41.905139,-87.6279,ROOFTOP,"20 E Scott St, Chicago, IL 60610, USA",17031080100,17031080100,Census Tract 801,Yes
576,"65 East Scott Street Building, Chicago, IL",https://www.apartments.com/65-east-scott-street-building-chicago-il/c02ng7f/,"$1,350 - 1,400","1,350","1,400",Studio,65 E Scott St,60610,"Corner apartment,Kitchen pass-through,Lake view,Built in 1975,230 Units/17 Stories,Package Service,Maintenance on site,Property Manager on Site,Doorman,Elevator,Storage Space,Sundeck,Fitness Center,Pool,Bike Storage,Air Conditioning,Heating,Cable Ready,Tub/Shower,Dishwasher,Eat-in Kitchen,Kitchen,Microwave,Range,Carpet,Dining Room,Walk-In Closets,Window Coverings",Studio,41.9044412,-87.6261735,ROOFTOP,"65 E Scott St, Chicago, IL 60610, USA",17031080100,17031080100,Census Tract 801,Yes
606,"Astor House, Chicago, IL",https://www.apartments.com/astor-house-chicago-il/cshqdye/,Call for Rent,,,Studio,1340 N Astor St,60610,"Built in 1969,218 Units/29 Stories,Package Service,Maintenance on site,Property Manager on Site,Doorman,Elevator,Storage Space,Conference Room,Sundeck,Fitness Center,Pool,Bike Storage,High Speed Internet Access,Air Conditioning,Heating,Cable Ready,Tub/Shower,Dishwasher,Eat-in Kitchen,Kitchen,Microwave,Range,Carpet,Dining Room,Walk-In Closets,Window Coverings",Studio,41.9071131,-87.6278464,ROOFTOP,"1340 N Astor St, Chicago, IL 60610, USA",17031080100,17031080100,Census Tract 801,Yes
750,"1400 N Lake Shore Dr, Chicago, IL",https://www.apartments.com/1400-n-lake-shore-dr-chicago-il/ej0brgq/,"$1,485","1,485","1,485",1 Bed,1400 N Lake Shore Dr,60610,,1 Bed,41.9080909,-87.6264326,ROOFTOP,"1400 N Lake Shore Dr, Chicago, IL 60610, USA",17031080100,17031080100,Census Tract 801,Yes
814,"1400 N Lake Shore Dr Unit 4m, Chicago, IL",https://www.apartments.com/1400-n-lake-shore-dr-chicago-il/8pl5ww3/,"$1,650","1,650","1,650",Condo for Rent,1400 N Lake Shore Dr Unit 4m,60610,Laundry Facilities,1 Bed,41.9080909,-87.6264326,ROOFTOP,"1400 N Lake Shore Dr #4m, Chicago, IL 60610, USA",17031080100,17031080100,Census Tract 801,Yes
950,"1350 North Lake Shore Drive, Chicago, IL",https://www.apartments.com/1350-north-lake-shore-drive-chicago-il/l583l3f/,"$1,631 - 3,278","1,631","3,278",1 Bed,1350 N Lake Shore Dr,60610,"24-hour doorman,24-hour emergency maintenance,Bicycle room,Rooftop sundeck,Built in 1951,742 Units/22 Stories,24 Hour Availability,Business Center,Sundeck,Grill,Fitness Center,Cardio Machines,Weight Machines,Heating,Dishwasher,Disposal,Range,Walk-In Closets",1 Bed,41.9070935,-87.62641,ROOFTOP,"1350 N Lake Shore Dr, Chicago, IL 60610, USA",17031080100,17031080100,Census Tract 801,Yes
1292,"20 E Scott, Chicago, IL",https://www.apartments.com/20-e-scott-chicago-il/jq01xe4/,"$1,750","1,750","1,750",1 Bed,20 E Scott St,60610,"Built in 1967,26 Units/5 Stories,Laundry Facilities,Maintenance on site,Online Services,Elevator,Air Conditioning,Pantry,Kitchen,Carpet,Dining Room,Linen Closet,Window Coverings",1 Bed,41.905139,-87.6279,ROOFTOP,"20 E Scott St, Chicago, IL 60610, USA",17031080100,17031080100,Census Tract 801,Yes
1295,"65 East Scott Street Building, Chicago, IL",https://www.apartments.com/65-east-scott-street-building-chicago-il/c02ng7f/,"$1,650 - 1,850","1,650","1,850",1 Bed,65 E Scott St,60610,"Corner apartment,Kitchen pass-through,Lake view,Built in 1975,230 Units/17 Stories,Package Service,Maintenance on site,Property Manager on Site,Doorman,Elevator,Storage Space,Sundeck,Fitness Center,Pool,Bike Storage,Air Conditioning,Heating,Cable Ready,Tub/Shower,Dishwasher,Eat-in Kitchen,Kitchen,Microwave,Range,Carpet,Dining Room,Walk-In Closets,Window Coverings",1 Bed,41.9044412,-87.6261735,ROOFTOP,"65 E Scott St, Chicago, IL 60610, USA",17031080100,17031080100,Census Tract 801,Yes
1334,"Astor House, Chicago, IL",https://www.apartments.com/astor-house-chicago-il/cshqdye/,"$2,035","2,035","2,035",1 Bed,1340 N Astor St,60610,"Built in 1969,218 Units/29 Stories,Package Service,Maintenance on site,Property Manager on Site,Doorman,Elevator,Storage Space,Conference Room,Sundeck,Fitness Center,Pool,Bike Storage,High Speed Internet Access,Air Conditioning,Heating,Cable Ready,Tub/Shower,Dishwasher,Eat-in Kitchen,Kitchen,Microwave,Range,Carpet,Dining Room,Walk-In Closets,Window Coverings",1 Bed,41.9071131,-87.6278464,ROOFTOP,"1340 N Astor St, Chicago, IL 60610, USA",17031080100,17031080100,Census Tract 801,Yes
1637,"1350 North Lake Shore Drive, Chicago, IL",https://www.apartments.com/1350-north-lake-shore-drive-chicago-il/l583l3f/,"$2,747 - 4,556","2,747","4,556",2 Bed,1350 N Lake Shore Dr,60610,"24-hour doorman,24-hour emergency maintenance,Bicycle room,Rooftop sundeck,Built in 1951,742 Units/22 Stories,24 Hour Availability,Business Center,Sundeck,Grill,Fitness Center,Cardio Machines,Weight Machines,Heating,Dishwasher,Disposal,Range,Walk-In Closets",2 Bed,41.9070935,-87.62641,ROOFTOP,"1350 N Lake Shore Dr, Chicago, IL 60610, USA",17031080100,17031080100,Census Tract 801,Yes
1704,"1360 N Lake Shore Dr, Chicago, IL",https://www.apartments.com/1360-n-lake-shore-dr-chicago-il/jv46476/,"$2,500","2,500","2,500",2 Bed,1360 N Lake Shore Dr,60610,Washer/Dryer,2 Bed,41.9075242,-87.626503,ROOFTOP,"1360 N Lake Shore Dr, Chicago, IL 60610, USA",17031080100,17031080100,Census Tract 801,Yes
1972,"65 East Scott Street Building, Chicago, IL",https://www.apartments.com/65-east-scott-street-building-chicago-il/c02ng7f/,"$2,500","2,500","2,500",2 Bed,65 E Scott St,60610,"Corner apartment,Kitchen pass-through,Lake view,Built in 1975,230 Units/17 Stories,Package Service,Maintenance on site,Property Manager on Site,Doorman,Elevator,Storage Space,Sundeck,Fitness Center,Pool,Bike Storage,Air Conditioning,Heating,Cable Ready,Tub/Shower,Dishwasher,Eat-in Kitchen,Kitchen,Microwave,Range,Carpet,Dining Room,Walk-In Closets,Window Coverings",2 Bed,41.9044412,-87.6261735,ROOFTOP,"65 E Scott St, Chicago, IL 60610, USA",17031080100,17031080100,Census Tract 801,Yes
2003,"Astor House, Chicago, IL",https://www.apartments.com/astor-house-chicago-il/cshqdye/,"$2,538 - 2,875","2,538","2,875",2 Bed,1340 N Astor St,60610,"Built in 1969,218 Units/29 Stories,Package Service,Maintenance on site,Property Manager on Site,Doorman,Elevator,Storage Space,Conference Room,Sundeck,Fitness Center,Pool,Bike Storage,High Speed Internet Access,Air Conditioning,Heating,Cable Ready,Tub/Shower,Dishwasher,Eat-in Kitchen,Kitchen,Microwave,Range,Carpet,Dining Room,Walk-In Closets,Window Coverings",2 Bed,41.9071131,-87.6278464,ROOFTOP,"1340 N Astor St, Chicago, IL 60610, USA",17031080100,17031080100,Census Tract 801,Yes
225,"1555 N Dearborn Pky Unit 11B, Chicago, IL",https://www.apartments.com/1555-n-dearborn-pky-chicago-il/hbv5g11/,"$1,500","1,500","1,500",Condo for Rent,1555 N Dearborn Pky Unit 11B,60610,,Studio,41.911056,-87.629802,ROOFTOP,"1555 N Dearborn Pkwy #11b, Chicago, IL 60610, USA",17031080201,17031080201,Census Tract 802.01,Yes
347,"1446 N Dearborn St Unit Unit 3C, Chicago, IL",https://www.apartments.com/1446-n-dearborn-st-chicago-il/7nx1h3z/,"$1,295","1,295","1,295",Condo for Rent,1446 N Dearborn St Unit Unit 3C,60610,,Studio,41.9091116,-87.6305285,ROOFTOP,"1446 N Dearborn St #3c, Chicago, IL 60610, USA",17031080201,17031080201,Census Tract 802.01,Yes
357,"53 W Burton Pl, Chicago, IL",https://www.apartments.com/53-w-burton-pl-chicago-il/cqc0c8g/,"$1,495","1,495","1,495",Condo for Rent,53 W Burton Pl,60610,Air Conditioning,Studio,41.9092732,-87.6309475,ROOFTOP,"53 W Burton Pl, Chicago, IL 60610, USA",17031080201,17031080201,Census Tract 802.01,Yes
796,"1560 N Sandburg Terrace Unit 1106, Chicago, IL",https://www.apartments.com/1560-n-sandburg-terrace-chicago-il/chkwewg/,"$2,259","2,259","2,259",Condo for Rent,1560 N Sandburg Terrace Unit 1106,60610,Washer/Dryer,1 Bed,41.9104645,-87.6326865,ROOFTOP,"1560 N Sandburg Terrace #1106, Chicago, IL 60610, USA",17031080201,17031080201,Census Tract 802.01,Yes
2493,"1555 N Sandburg Ter Unit 201, Chicago, IL",https://www.apartments.com/1555-n-sandburg-ter-chicago-il/s0b7t86/,"$3,400","3,400","3,400",Condo for Rent,1555 N Sandburg Ter Unit 201,60610,,3 Bed,41.9098911,-87.6319952,ROOFTOP,"1555 N Sandburg Terrace #201, Chicago, IL 60610, USA",17031080201,17031080201,Census Tract 802.01,Yes
100,"1355 N Sandburg Terrace Unit 2303, Chicago, IL",https://www.apartments.com/1355-n-sandburg-terrace-chicago-il/3ccdqxf/,"$1,500","1,500","1,500",Condo for Rent,1355 N Sandburg Terrace Unit 2303,60610,Laundry Facilities,Studio,41.9069929,-87.6319802,ROOFTOP,"1355 N Sandburg Terrace #2303, Chicago, IL 60610, USA",17031080202,17031080202,Census Tract 802.02,Yes
270,"The Sinclair, Chicago, IL",https://www.apartments.com/the-sinclair-chicago-il/vwyqs6f/,Call for Rent,,,Studio,1201 N La Salle Dr,60610,"24-hour concierge,9Ã_Ã_Â»-11Ã_Ã_Â» ceilings,Bicycle storage,Coffee bar,Demonstration kitchen,Electronic access control,Expansive dog run,Fitness club with yoga studio,Frameless glass shower door,GE stainless steel appliances,Glass tile backsplash,Grohe Concetto faucet,Kitchens designed by Mick De Giulio,Large windows overlooking Lake Michigan,Maple finished soft close cabinets,Nest programmable thermostats,Outdoor grills with private seating,Outdoor rooftop pool and spa,Plank flooring throughout apartments,Private balcony in select residences,Private physical therapy studio,Quartz counter tops,Resident lounge,State-of-the-art screening TV,Sun terrace with cabanas,Undermount sinks,Built in 2017,390 Units/35 Stories,Package Service,Community-Wide WiFi,Wi-Fi at Pool and Clubhouse,Controlled Access,Maintenance on site,Property Manager on Site,Security System,Bilingual,Concierge,On-Site Retail,Vision Impaired Accessible,Recycling,Renters Insurance Program,Dry Cleaning Service,Online Services,LEED Rating,Energy Star Certified,Planned Social Activities,Local Vet / Pet Store Discount,Pet Care,Pet Play Area,Pet Washing Station,Parking Security,Elevator,Business Center,Clubhouse,Lounge,Multi Use Room,Breakfast/Coffee Concierge,Storage Space,Disposal Chutes,Coffee Bar,Conference Room,Sundeck,Cabana,Grill,Fitness Center,Fitness Programs,Health Club Facility,Cardio Machines,Free Weights,Weight Machines,Pool,Bike Storage,Gameroom,Gaming Stations,High Speed Internet Access,Wi-Fi,Washer/Dryer,Air Conditioning,Heating,Smoke Free,Trash Compactor,Storage Units,Double Vanities,Tub/Shower,Handrails,Surround Sound,Sprinkler System,Framed Mirrors,Wheelchair Accessible (Rooms),Dishwasher,Disposal,Ice Maker,Stainless Steel Appliances,Pantry,Island Kitchen,Eat-in Kitchen,Kitchen,Microwave,Oven,Range,Refrigerator,Freezer,Hardwood Floors,Views,Walk-In Closets,Linen Closet,Window Coverings,Accent Walls,Balcony,Deck,Barbecue/Grill",Studio,41.9039693,-87.632864,RANGE_INTERPOLATED,"1201 N LaSalle Dr, Chicago, IL 60610, USA",17031080202,17031080202,Census Tract 802.02,Yes
613,"Park Dearborn, Chicago, IL",https://www.apartments.com/park-dearborn-chicago-il/xeehskp/,Call for Rent,,,Studio,1260 N Dearborn St,60610,"Built in 1929,192 Units/13 Stories,Package Service,Maintenance on site,Property Manager on Site,Guest Apartment,Pet Care,Elevator,Vintage Building,Sundeck,Fitness Center,Air Conditioning,Heating,Cable Ready,Tub/Shower,Eat-in Kitchen,Kitchen,Range,Hardwood Floors,Walk-In Closets,Window Coverings",Studio,41.9056504,-87.6303372,ROOFTOP,"1260 N Dearborn St, Chicago, IL 60610, USA",17031080202,17031080202,Census Tract 802.02,Yes
618,"Canterbury Court Apartments, Chicago, IL",https://www.apartments.com/canterbury-court-apartments-chicago-il/566608q/,Call for Rent,,,Studio,1220 N State Pky,60610,"&quot;GOLD COAST RESIDENTIAL NEIGHBORHOOD&quot;,24-hour front desk attendant,24-Hour Maintenance,garages are available nearby,internet hookup available,laundry on first floor,One Month Lease,Cable TV and High-Speed Internet Available,Public Trans,Short-Term Lease available,Built in 1929,170 Units/16 Stories,Furnished,Package Service,Laundry Facilities,Controlled Access,Maintenance on site,Property Manager on Site,Security System,Doorman,Concierge,24 Hour Availability,Furnished Units Available,Trash Pickup - Curbside,Recycling,Laundry Service,Health Club Discount,Per Diem Accepted,Elevator,Storage Space,Vintage Building,Bike Storage,High Speed Internet Access,Wi-Fi,Air Conditioning,Heating,Ceiling Fans,Smoke Free,Cable Ready,Alarm,Tub/Shower,Intercom,Framed Mirrors,Eat-in Kitchen,Kitchen,Microwave,Oven,Range,Refrigerator,Freezer,Carpet,Vinyl Flooring,Dining Room,Vaulted Ceiling,Views,Walk-In Closets,Window Coverings",Studio,41.9045126,-87.6290637,ROOFTOP,"1220 N State St, Chicago, IL 60610, USA",17031080202,17031080202,Census Tract 802.02,Yes
667,"1030 N State St Unit 5A, Chicago, IL",https://www.apartments.com/1030-n-state-st-chicago-il/9pklj55/,"$1,600","1,600","1,600",Condo for Rent,1030 N State St Unit 5A,60610,"Laundry Facilities,Smoke Free",Studio,41.9041051,-87.6286828,ROOFTOP,"1030 N State St #5a, Chicago, IL 60610, USA",17031080202,17031080202,Census Tract 802.02,Yes
1214,"The Sinclair, Chicago, IL",https://www.apartments.com/the-sinclair-chicago-il/vwyqs6f/,Call for Rent,,,1 Bed,1201 N La Salle Dr,60610,"24-hour concierge,9Ã_Ã_Â»-11Ã_Ã_Â» ceilings,Bicycle storage,Coffee bar,Demonstration kitchen,Electronic access control,Expansive dog run,Fitness club with yoga studio,Frameless glass shower door,GE stainless steel appliances,Glass tile backsplash,Grohe Concetto faucet,Kitchens designed by Mick De Giulio,Large windows overlooking Lake Michigan,Maple finished soft close cabinets,Nest programmable thermostats,Outdoor grills with private seating,Outdoor rooftop pool and spa,Plank flooring throughout apartments,Private balcony in select residences,Private physical therapy studio,Quartz counter tops,Resident lounge,State-of-the-art screening TV,Sun terrace with cabanas,Undermount sinks,Built in 2017,390 Units/35 Stories,Controlled Access,Pet Play Area,Clubhouse,Coffee Bar,Rooftop Lounge,Sundeck,Cabana,Grill,Fitness Center,Pool,Air Conditioning,Heating,Smoke Free,Dishwasher,Stainless Steel Appliances,Kitchen,Microwave,Oven,Refrigerator,Walk-In Closets",1 Bed,41.9039693,-87.632864,RANGE_INTERPOLATED,"1201 N LaSalle Dr, Chicago, IL 60610, USA",17031080202,17031080202,Census Tract 802.02,Yes
1343,"Park Dearborn, Chicago, IL",https://www.apartments.com/park-dearborn-chicago-il/xeehskp/,Call for Rent,,,1 Bed,1260 N Dearborn St,60610,"Built in 1929,192 Units/13 Stories,Package Service,Maintenance on site,Property Manager on Site,Guest Apartment,Pet Care,Elevator,Vintage Building,Sundeck,Fitness Center,Air Conditioning,Heating,Cable Ready,Tub/Shower,Eat-in Kitchen,Kitchen,Range,Hardwood Floors,Walk-In Closets,Window Coverings",1 Bed,41.9056504,-87.6303372,ROOFTOP,"1260 N Dearborn St, Chicago, IL 60610, USA",17031080202,17031080202,Census Tract 802.02,Yes
1347,"Canterbury Court Apartments, Chicago, IL",https://www.apartments.com/canterbury-court-apartments-chicago-il/566608q/,"$1,650","1,650","1,650",1 Bed,1220 N State Pky,60610,"&quot;GOLD COAST RESIDENTIAL NEIGHBORHOOD&quot;,24-hour front desk attendant,24-Hour Maintenance,garages are available nearby,internet hookup available,laundry on first floor,One Month Lease,Cable TV and High-Speed Internet Available,Public Trans,Short-Term Lease available,Built in 1929,170 Units/16 Stories,Furnished,Package Service,Laundry Facilities,Controlled Access,Maintenance on site,Property Manager on Site,Security System,Doorman,Concierge,24 Hour Availability,Furnished Units Available,Trash Pickup - Curbside,Recycling,Laundry Service,Health Club Discount,Per Diem Accepted,Elevator,Storage Space,Vintage Building,Bike Storage,High Speed Internet Access,Wi-Fi,Air Conditioning,Heating,Ceiling Fans,Smoke Free,Cable Ready,Alarm,Tub/Shower,Intercom,Framed Mirrors,Eat-in Kitchen,Kitchen,Microwave,Oven,Range,Refrigerator,Freezer,Carpet,Vinyl Flooring,Dining Room,Vaulted Ceiling,Views,Walk-In Closets,Window Coverings",1 Bed,41.9045126,-87.6290637,ROOFTOP,"1220 N State St, Chicago, IL 60610, USA",17031080202,17031080202,Census Tract 802.02,Yes
